Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 5ÔÂ 19 2018 19:06,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 2,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 53 / 4 / 39,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.265,0.452,1.728,1.024,0.292,0.395,0.275,0.289,0.282,2.201,2.254,0.603
0.286,0.268,0.852,0.325,0.276,1.911,0.386,0.279,1.374,2.191,1.064,0.481
1.135,0.946,1.546,0.851,0.313,0.535,1.175,0.813,1.266,2.568,0.508,0.23
0.805,1.133,0.277,0.26,0.71,0.882,1.017,0.23,0.902,1.696,1.946,0.136
0.248,0.359,1.365,0.911,1.219,0.881,1.32,1.293,0.493,2.413,1.641,1.654
0.29,1.289,1.131,1.017,1.204,0.655,1.328,0.974,1.042,2.639,2.334,3.285
0.262,0.459,0.285,1.19,1.074,0.419,0.25,0.7,0.46,0.159,1.113,0.126
0.414,1.27,0.286,0.572,0.236,0.401,0.636,0.796,0.384,0.208,0.14,0.19
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.199,0.233,0.787,0.642,0.216,0.224,0.205,0.215,0.211,1.285,1.475,0.452
0.213,0.201,0.467,0.228,0.209,0.948,0.252,0.209,0.783,1.371,0.587,0.311
0.527,0.5,0.962,0.385,0.191,0.205,0.576,0.417,0.768,1.693,0.27,0.106
0.469,0.764,0.205,0.194,0.432,0.483,0.408,0.178,0.492,0.918,1.165,0.099
0.188,0.249,0.816,0.524,0.804,0.481,0.804,0.866,0.285,1.515,1.015,0.886
0.215,0.617,0.575,0.629,0.556,0.176,0.793,0.56,0.602,1.58,1.503,1.764
0.199,0.337,0.214,0.749,0.637,0.291,0.19,0.325,0.336,0.113,0.429,0.094
0.275,0.859,0.206,0.398,0.173,0.279,0.422,0.509,0.262,0.109,0.107,0.141
