Program                   : MicroLog3 4.20.05,,,,,,,,,,,
590/750 Filters Used      : 6 / 5,,,,,,,,,,,
Read Time                 : 9ÔÂ 29 2018 16:13,,,,,,,,,,,
Parent File               : Original Data Record,,,,,,,,,,,
Plate Number              : 1,,,,,,,,,,,
Read Hour                 : 24,,,,,,,,,,,
Sample Number             : ,,,,,,,,,,,
Plate Type                : OTHER,,,,,,,,,,,
Strain Type               : NOT APPLICABLE,,,,,,,,,,,
Strain Number             : ,,,,,,,,,,,
Strain Name               : ,,,,,,,,,,,
Other                     : ,,,,,,,,,,,
Data Input Mode           : Reader,,,,,,,,,,,
Number +/b/- Reactions    : 23 / 15 / 58,,,,,,,,,,,
Database To Search        : User,,,,,,,,,,,
Data Base(s) Searched     : ,,,,,,,,,,,
,,,,,,,,,,,
FILTER = 6,,,,,,,,,,,
0.248,0.439,0.456,0.54,0.243,0.332,0.229,0.26,0.222,1.132,0.799,0.484
0.244,0.243,0.479,0.274,0.233,0.911,0.302,0.243,0.439,0.914,0.723,0.614
0.529,0.5,0.674,0.484,0.321,0.232,0.502,0.384,0.508,0.908,0.67,0.218
0.546,0.441,0.246,0.244,0.388,0.772,0.658,0.22,0.522,1.078,1.091,0.17
0.253,0.557,0.304,0.26,0.25,0.262,0.249,0.245,0.314,1.025,0.594,1.036
0.35,0.703,0.539,0.561,0.609,0.403,0.388,0.248,0.319,1.272,3.237,1.445
0.234,0.345,0.26,0.435,0.239,0.297,0.25,0.243,0.231,0.452,1.051,0.144
0.343,0.282,0.307,0.277,0.239,0.295,0.249,0.477,0.251,0.814,0.507,0.226
,,,,,,,,,,,
FILTER = 5,,,,,,,,,,,
0.206,0.244,0.322,0.355,0.196,0.21,0.185,0.198,0.18,0.503,0.387,0.267
0.202,0.201,0.277,0.216,0.191,0.608,0.215,0.197,0.295,0.4,0.407,0.299
0.332,0.306,0.357,0.267,0.205,0.185,0.239,0.226,0.321,0.377,0.335,0.108
0.332,0.308,0.198,0.199,0.229,0.333,0.317,0.186,0.266,0.44,0.493,0.113
0.213,0.254,0.234,0.217,0.214,0.223,0.204,0.204,0.225,0.446,0.367,0.446
0.281,0.343,0.29,0.334,0.282,0.209,0.273,0.207,0.246,0.442,1.52,0.755
0.195,0.256,0.207,0.23,0.198,0.233,0.206,0.2,0.195,0.19,0.348,0.102
0.295,0.234,0.246,0.238,0.209,0.235,0.215,0.286,0.211,0.193,0.265,0.176
