ratio0,plate,carbon_id,A590,A750
equal,1,1,0.191,0.138
equal,1,2,0.344,0.181
equal,1,3,1.371,0.561
equal,1,4,1.245,0.778
equal,1,5,0.191,0.137
equal,1,6,0.259,0.142
equal,1,7,0.198,0.141
equal,1,8,0.213,0.151
equal,1,9,0.201,0.144
equal,1,10,0.192,0.138
equal,1,11,0.18,0.13
equal,1,12,0.462,0.202
equal,1,13,0.223,0.16
equal,1,14,0.187,0.134
equal,1,15,2.109,1.146
equal,1,16,0.252,0.173
equal,1,17,0.197,0.142
equal,1,18,1.294,0.636
equal,1,19,1.071,0.286
equal,1,20,1.437,0.612
equal,1,21,1.525,0.838
equal,1,22,0.759,0.264
equal,1,23,0.228,0.133
equal,1,24,0.459,0.132
equal,1,25,1.471,0.688
equal,1,26,0.853,0.372
equal,1,27,1.317,0.799
equal,1,28,0.714,0.383
equal,1,29,1.394,0.619
equal,1,30,0.193,0.138
equal,1,31,0.188,0.135
equal,1,32,0.575,0.33
equal,1,33,1.128,0.455
equal,1,34,1.167,0.38
equal,1,35,0.178,0.129
equal,1,36,1.371,0.831
equal,1,37,0.175,0.127
equal,1,38,0.241,0.174
equal,1,39,1.024,0.526
equal,1,40,0.496,0.219
equal,1,41,1.206,0.794
equal,1,42,0.929,0.513
equal,1,43,1.302,0.71
equal,1,44,1.492,0.953
equal,1,45,0.591,0.334
equal,1,46,0.221,0.16
equal,1,47,1.324,0.528
equal,1,48,1.386,0.539
equal,1,49,1.572,0.727
equal,1,50,1.511,0.687
equal,1,51,0.726,0.136
equal,1,52,0.928,0.404
equal,1,53,1.108,0.595
equal,1,54,0.746,0.319
equal,1,55,0.179,0.13
equal,1,56,0.461,0.33
equal,1,57,0.226,0.162
equal,1,58,1.063,0.604
equal,1,59,0.956,0.481
equal,1,60,0.367,0.25
equal,1,61,0.2,0.144
equal,1,62,1.043,0.523
equal,1,63,0.348,0.252
equal,1,64,0.196,0.143
equal,1,65,1.477,0.969
equal,1,66,0.203,0.148
equal,1,67,0.63,0.461
equal,1,68,0.252,0.16
equal,1,69,0.232,0.169
equal,1,70,0.713,0.475
equal,1,71,0.664,0.421
equal,1,72,0.298,0.207
equal,2,1,0.197,0.143
equal,2,2,0.338,0.175
equal,2,3,1.668,0.797
equal,2,4,1.104,0.652
equal,2,5,0.205,0.147
equal,2,6,0.276,0.157
equal,2,7,0.193,0.138
equal,2,8,0.209,0.148
equal,2,9,0.193,0.139
equal,2,10,0.19,0.137
equal,2,11,0.177,0.128
equal,2,12,0.438,0.19
equal,2,13,0.231,0.165
equal,2,14,0.201,0.144
equal,2,15,1.483,0.627
equal,2,16,0.25,0.17
equal,2,17,0.206,0.149
equal,2,18,1.545,0.834
equal,2,19,1.854,0.941
equal,2,20,1.576,0.751
equal,2,21,1.418,0.707
equal,2,22,0.77,0.278
equal,2,23,0.229,0.13
equal,2,24,0.478,0.138
equal,2,25,1.262,0.566
equal,2,26,0.932,0.429
equal,2,27,1.424,0.906
equal,2,28,0.714,0.374
equal,2,29,1.686,0.838
equal,2,30,0.189,0.135
equal,2,31,0.181,0.13
equal,2,32,0.59,0.33
equal,2,33,1.103,0.407
equal,2,34,1.18,0.382
equal,2,35,0.194,0.142
equal,2,36,1.392,0.8
equal,2,37,0.175,0.128
equal,2,38,0.253,0.183
equal,2,39,0.866,0.452
equal,2,40,0.947,0.546
equal,2,41,0.702,0.348
equal,2,42,0.766,0.391
equal,2,43,1.479,0.854
equal,2,44,1.269,0.672
equal,2,45,0.548,0.296
equal,2,46,0.212,0.152
equal,2,47,1.672,0.817
equal,2,48,1.147,0.361
equal,2,49,1.73,0.851
equal,2,50,1.727,0.823
equal,2,51,0.712,0.135
equal,2,52,1.46,0.829
equal,2,53,1.081,0.591
equal,2,54,1.381,0.825
equal,2,55,0.189,0.138
equal,2,56,0.665,0.461
equal,2,57,0.226,0.163
equal,2,58,0.878,0.427
equal,2,59,0.829,0.376
equal,2,60,0.42,0.265
equal,2,61,0.2,0.146
equal,2,62,0.98,0.505
equal,2,63,0.343,0.251
equal,2,64,0.227,0.167
equal,2,65,1.263,0.751
equal,2,66,0.223,0.166
equal,2,67,0.666,0.5
equal,2,68,0.254,0.16
equal,2,69,0.243,0.169
equal,2,70,0.836,0.48
equal,2,71,0.732,0.407
equal,2,72,0.295,0.195
equal,3,1,0.199,0.145
equal,3,2,0.396,0.199
equal,3,3,1.535,0.738
equal,3,4,1.165,0.682
equal,3,5,0.219,0.156
equal,3,6,0.285,0.161
equal,3,7,0.204,0.146
equal,3,8,0.222,0.152
equal,3,9,0.194,0.14
equal,3,10,0.204,0.146
equal,3,11,0.194,0.14
equal,3,12,0.475,0.194
equal,3,13,0.241,0.169
equal,3,14,0.206,0.149
equal,3,15,1.737,0.859
equal,3,16,0.322,0.2
equal,3,17,0.209,0.15
equal,3,18,1.7,0.984
equal,3,19,1.95,1.085
equal,3,20,1.525,0.684
equal,3,21,1.39,0.686
equal,3,22,0.777,0.299
equal,3,23,0.255,0.141
equal,3,24,0.515,0.156
equal,3,25,1.013,0.372
equal,3,26,0.799,0.349
equal,3,27,1.221,0.729
equal,3,28,0.744,0.414
equal,3,29,1.538,0.691
equal,3,30,0.212,0.153
equal,3,31,0.198,0.142
equal,3,32,0.496,0.261
equal,3,33,1.243,0.422
equal,3,34,1.164,0.396
equal,3,35,0.187,0.136
equal,3,36,1.213,0.664
equal,3,37,0.177,0.129
equal,3,38,0.264,0.19
equal,3,39,0.9,0.476
equal,3,40,0.659,0.366
equal,3,41,0.468,0.182
equal,3,42,0.848,0.52
equal,3,43,1.394,0.775
equal,3,44,1.038,0.508
equal,3,45,0.54,0.309
equal,3,46,0.222,0.158
equal,3,47,1.498,0.642
equal,3,48,1.222,0.418
equal,3,49,1.813,0.9
equal,3,50,1.389,0.536
equal,3,51,0.729,0.129
equal,3,52,1.355,0.766
equal,3,53,0.974,0.476
equal,3,54,0.923,0.523
equal,3,55,0.18,0.131
equal,3,56,0.512,0.362
equal,3,57,0.227,0.162
equal,3,58,1.402,0.907
equal,3,59,0.561,0.225
equal,3,60,0.467,0.311
equal,3,61,0.211,0.152
equal,3,62,1.201,0.623
equal,3,63,0.378,0.279
equal,3,64,0.223,0.144
equal,3,65,1.441,0.918
equal,3,66,0.279,0.197
equal,3,67,0.827,0.58
equal,3,68,0.277,0.172
equal,3,69,0.253,0.169
equal,3,70,0.837,0.465
equal,3,71,0.658,0.374
equal,3,72,0.33,0.213
more,1,1,0.365,0.27
more,1,2,0.558,0.287
more,1,3,1.737,0.797
more,1,4,1.069,0.681
more,1,5,0.311,0.23
more,1,6,0.454,0.267
more,1,7,0.324,0.239
more,1,8,0.324,0.227
more,1,9,0.321,0.237
more,1,10,0.314,0.236
more,1,11,0.322,0.238
more,1,12,0.821,0.448
more,1,13,0.344,0.24
more,1,14,0.272,0.204
more,1,15,2.237,1.329
more,1,16,0.449,0.282
more,1,17,0.288,0.216
more,1,18,1.365,0.827
more,1,19,1.004,0.58
more,1,20,1.306,0.837
more,1,21,1.428,0.883
more,1,22,0.988,0.479
