"plate","carbon_id","EC","PP"
1,1,10455220.73,198817093.2
1,2,59042727.29,11468216.59
1,3,54167911.9,69902664.13
1,4,61019234.98,97434836.68
1,5,14130781.46,71788637.63
1,6,5894490.792,70394115.3
1,7,11277000.01,101617855.5
1,8,16589845.62,50361513.18
1,9,7844865.231,157006336.5
1,10,14350266.28,135810952.5
1,11,5024286.444,41448968.95
1,12,42033832.22,1270008.577
1,13,4.306015314,117066085.5
1,14,6357797.165,129492593.7
1,15,29945793.5,136383041.5
1,16,26231925.46,94941598.73
1,17,6714893.998,75344202.43
1,18,35280384.06,114631299.2
1,19,27763579.03,268711772.4
1,20,30904921.75,518787372.1
1,21,30114102.71,38455425.39
1,22,122006395.8,108992420.7
1,23,7365493.346,150648800.9
1,24,12703349.45,59708287.29
1,25,26323975.83,103994577.6
1,26,33101326.33,36333926.95
1,27,66185253.25,161468454.8
1,28,103558349.2,195502094.4
1,29,32276908.98,236875095.4
1,30,12614661.98,189700343.4
1,31,10081184.06,106875200.3
1,32,11985728.57,74452172.26
1,33,52634114.7,97162171.11
1,34,52929942.76,117724051.1
1,35,13147013.79,119888086.7
1,36,24269286.4,33780728.79
1,37,9031134.198,40729320.4
1,38,91801954.91,65172961.33
1,39,20831844.82,717567961.7
1,40,7365493.346,987658588.1
1,41,7438091.554,511927434.7
1,42,9392495.779,449381859.3
1,43,5442022.618,969151675.2
1,44,12413023.42,292894360.2
1,45,12395642.7,119888086.7
1,46,10506620.49,139084818.5
1,47,97230265.88,320149166.7
1,48,69804786.39,359633375.1
1,49,58548430.48,311738464.6
1,50,21007718.27,307400902
1,51,3144290.224,29036767.38
1,52,21559396.78,196738691.7
1,53,7432882.321,153418068.3
1,54,12465311.94,207352599.2
1,55,5675656.537,40331788.9
1,56,23698020.67,76193521.04
1,57,9069176.878,336712541.1
1,58,18885607.07,271360338.1
1,59,7983476.576,463450224.5
1,60,9405665.596,290442292.8
1,61,8239177.861,84340493.78
1,62,7370655.351,204467472.8
1,63,14934921.19,203895282.7
1,64,5377592.335,175261461.4
1,65,9326922.783,1167684826
